Countries,Indicators,,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5.1171718,5.2674809,6.0005097,6.0357628,6.5472140,6.9784761,6.6038446,6.3743219
Algeria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,28.8824444,27.8734646,25.7159081,27.5619774,26.6584549,28.2082024,30.8821354,32.5488396
Algeria,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,0.0281929,0.0122321,0.0319956,0.0196293,0.0350705,0.0270188,0.0244626,0.0214304
Algeria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3.5555205,3.7201529,4.3761396,4.2883158,4.7145691,4.9169874,4.4697700,4.2041640
Algeria,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,37.2507019,40.1231728,43.5431480,36.1855240,40.6055641,45.8114777,41.6402206,39.1663475
Algeria,Gross Domestic Product (GDP) per Capita in PPP Int$,,"12,607.2438947","12,990.3719244","13,414.3883046","13,744.8349966","14,247.6331359","14,657.7863982","15,030.1687939","15,292.7286467"
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2.6951001,2.6456080,2.3957496,2.7328277,2.4341285,2.6057949,2.7131491,2.7915003
Angola,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,19.3437557,17.9938088,17.6191769,21.3492775,26.8761673,33.5231667,35.2089310,34.1210136
Angola,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,3.2464459,2.8612268,2.1754313,2.5659604,3.1701467,2.6703224,3.6416087,3.1147890
Angola,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1.6740958,1.7132180,1.5633355,1.6951674,1.3181601,1.2342408,1.1975367,1.2918687
Angola,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,39.3945465,37.4018898,37.2089043,37.0495644,36.4567947,27.0511208,22.0431099,23.7984829
Angola,Gross Domestic Product (GDP) per Capita in PPP Int$,,"6,226.8602258","6,346.9430819","6,775.7073726","6,985.1039684","7,204.9452118","7,102.9873750","6,763.7423358","6,657.8551921"
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.0898051,4.2219834,4.6664405,3.9067044,3.6455064,3.9918196,3.8556125,3.7185822
Benin,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,45.0661736,43.6743431,37.4064484,42.3120918,44.0125427,40.4965897,43.4832916,44.9799271
Benin,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,25.7164574,25.8116989,36.2380104,25.4348984,28.5919075,34.2342377,30.4677525,19.3345547
Benin,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0.9901134,1.0878004,1.0205109,1.0449733,0.7862840,0.8038079,0.7918504,1.1149973
Benin,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,19.2381229,20.1281185,19.4556007,20.3548260,19.4402752,24.9231205,21.2589550,24.3706226
Benin,Gross Domestic Product (GDP) per Capita in PPP Int$,,"1,781.4599274","1,820.8947136","1,891.5928567","2,006.2667679","2,114.5070055","2,122.2354358","2,169.6183453","2,276.4317267"
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6.1940250,5.7769032,6.1414599,6.2243881,5.5979314,5.7262993,5.5605221,6.1345682
Botswana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,4.9935632,4.5739608,4.2400465,3.7843444,3.7170954,3.5778177,3.3074942,2.9932423
Botswana,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),,5.1027165,4.8363643,4.6098714,8.8375845,7.9507155,7.0300059,5.6654377,9.6117306
Botswana,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3.5649550,3.5479133,3.9614353,3.9791775,3.7987065,3.8800192,3.6989965,4.6413894
Botswana,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),,44.2250786,36.8336830,37.0765457,33.3418541,34.6642151,37.2509689,32.9934807,32.4221802
Botswana,Gross Domestic Product (GDP) per Capita in PPP Int$,,"12,785.6653684","13,596.1853140","14,211.2619508","15,804.5481962","16,461.8600940","16,070.3674151","16,619.2792121","17,023.1595469"
