"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT"
"Albania","UM",5.88611166565962,6.38075835656756,1.99024434194452,0.120194894329629,495921.590601085,839443.157202645,138502.841722018,0.00345014133958304,0,24.2,0.2,1.86502617767673,15.5773334503174,97.2552788305008,89.4342415762131,13.3216667175293,6.51778333333333,17.8571428571429,6.65289666666667,5.3344,-0.6577676,-0.223425833333333,0.144761466666667,0.2102926,-0.458732033333333,3.96666666666667,1.2728,100,0.1,7.97097718710294,98.6666666666667,2.9,100,55.38,28750,2820483.17988403,98.103762778575,20.0324264314432,41.1413533060488
"Angola","LM",22.2560905412522,32.9762617575776,5.34296496006467,0.0211404097027871,53270.6014398551,43455.710904356,10260.4056439268,0.000690810076660147,3.05386041557061,41.8666666666667,8.4,8.77870217294042,7.3700000445048,44.8544323569913,52.7557993450609,7.75966660181681,2.47597,35,2.33504,48.45341,-1.34072566666667,-1.11215723333333,-0.371262666666667,-1.00415366666667,-1.21852933333333,29.2333333333333,0.1844,55.6,1.76666666666667,181.093501541349,54,0.3,34.9374847412109,62.0003333333333,1246700,24484796.3778752,19.6396858730049,17.4705725523135,-12.2458690361332
"Argentina","UM",5.97933764320046,4.82843635368356,2.12458571306821,0.105197412601514,16383.891529201,13498.4317567071,4583.37526584157,0.0196117981862884,16.3080748802452,29.6666666666667,0.4,4.02130708194858,7.19500001271566,94.0367845186149,98.9304671343853,8.55933348337809,6.53955333333333,36.8352788586251,6.30804,0.79834,-0.472347333333333,-0.225086466666667,0.0544109666666667,-0.986911733333333,-0.757797333333333,2.83333333333333,3.9385,98.28,0.4,0,93,4.86666666666667,99.7935943603516,91.249,2780400,42523291.7553367,15.2939475454383,-65.1753607711417,-35.4468214894951
"Armenia","LM",6.09068039991699,5.89501120916732,1.75394431889735,0.105029010192029,1732006.07277632,3331796.93046658,421356.633220056,0.000337615493487723,590.757999593156,24.9666666666667,0.266666666666667,3.77633218412078,16.9926668802897,92.2100673846674,99.2606450979843,18.5953330993652,7.03344,10.6870229007634,6.86899,1.47659666666667,-0.547911,-0.0571035666666667,-0.0106519,0.2717895,-0.376010266666667,3.26666666666667,2.89756666666667,100,0.2,0,94.3333333333333,4.05,99.9406356811523,63.172,29740,3071093.6945981,103.264750995229,45.0002900110148,40.2166076123014
"Australia","H",2.10670036512767,1.50791078399165,1.85119438908778,0.145948011242112,76999.7251618398,160658.460928445,26565.4554117736,0.118670996798904,822.629218460971,27,0.4,2.23353050095712,5.65433343251546,99.9911523822512,99.9446436679464,5.70233345031738,6.61811,25.5555555555556,5.82992666666667,0.519195,1.87484833333333,1.622808,1.02042073333333,1.81701466666667,1.82289666666667,2.5,3.35673333333333,99.5,0.1,6.92021717083248,91.6666666666667,3.8,100,85.502,7741220,22605787.3660819,2.92018407513052,134.502775475366,-25.7306547797261
"Austria","H",1.93600936530186,1.33670107187504,1.49117680626457,0.182918860084312,41007.8562895817,102967.760684067,19980.6801919449,0.186788818451289,909.686341812654,23.9666666666667,0.233333333333333,2.03054552855672,5.27333323160807,99.9804526086585,100.000001891373,5.15399996439616,7.63616,31.1475409836065,7.76003666666667,3.21996333333333,1.47175366666667,1.57897866666667,1.32512266666667,1.500866,1.88734166666667,2.5,4.9654,98.5,0.9,5.31680621061378,95,7.65,100,57.3363333333333,83879.00390625,8510984.80715476,101.467404365785,14.0761588843371,47.6139487927463
"Azerbaijan","UM",17.1152348229723,11.4691987637642,1.94897781735695,0.0520769919347807,2917.42370531919,3651.45412472721,896.311846994092,0.101493654182848,277.694153072744,26.6666666666667,2.13333333333333,1.62556641862242,5.02333323160807,89.0878147969291,88.6658946202231,5.95933341979981,6.77805,15.7158469945355,7.44559666666667,12.7261466666667,-1.0374728,-0.540498066666667,-0.5628404,-0.380348233333333,-0.743535966666667,2.5,3.46396666666667,99.8666666666667,0.1,0.00469291885474007,92,4.65,99.9999033610026,54.15,86600,9652806.50707472,111.464278372687,47.5539095580061,40.2206905476617
"Belarus","UM",2.43095742184407,3.17162683497182,1.68422557956996,0.136838657223462,8179.99798294441,9976.37348321205,2942.03994217277,0.179994805169582,242.907392277127,22.1666666666667,0,31.8838504712375,6.04066673914592,97.1585154131378,96.7288862096382,4.50233332316081,7.25755666666667,26.605504587156,7.33161333333333,0.70573,-0.4312176,-0.7615371,0.0847855333333333,-1.04879933333333,-0.8927428,2.5,4.9002,99.8666666666667,0.3,0.101089144539665,97.6666666666667,11.15,100,76.1963333333333,207600,9599761.44859321,46.2416254749191,27.981352615448,53.5063447948111
"Belgium","H",1.91916177027343,1.61473182720884,1.70377399966377,0.177592472695102,37382.8556267582,84459.9577514301,19125.2807439109,0.187050993687202,775.266521002267,22.0333333333333,0.1,1.43092073603044,8.16333325703939,99.4860655186069,99.9999995355232,7.83966668446859,9.74481333333333,38.4444444444444,9.22579,0.936956666666667,1.618414,1.53046966666667,0.854983933333333,1.225933,1.463001,2.5,2.9567,99.0666666666667,0.166666666666667,0.752145186828953,99,6.26666666666667,100,97.7886666666667,30530,11101081.5111655,363.612234234049,4.58083411385493,50.652440959023
"Belize","UM",9.25528742371169,6.27752565069951,2.18555764628521,0.0433332062440586,7459.74795818358,18848.6553654838,2557.42620809155,0.10606003991722,84.0365893498854,35,0.4,2.61610562137824,8.32600021362305,86.5752192364489,95.8903463976052,13.1056664784749,4.87136666666667,3.125,4.7801,9.35546666666667,-0.143837566666667,-0.437037233333333,0.13501,-0.4847367,-0.556670366666667,7.9,0.85545,94.2,0.666666666666667,0.101089144539665,96,1.1,91.5561879475911,45.2876666666667,22970,356915.925806192,15.5383511452413,-88.7034212529932,17.1970899114515
"Bhutan","LM",21.2235247492239,11.7420028734204,2.26623980697324,0.0508351659772828,81831.3805414019,91080.1022860354,20327.5960773016,0.00472949932135385,21.3752213699185,30.7,0.4,8.73246151694777,2.51666665077209,65.2017689799135,95.1848334997336,3.19666663805644,4.76278666666667,7.80141843971631,4.56902333333333,17.58686,1.04061183333333,0.3897359,0.876324466666667,-1.05459043333333,0.3018841,21.2333333333333,0.300533333333333,84.2,0.1,0.0740641103462617,97.6666666666667,1.7,93.6056874593099,37.146,38393.9990234375,757876.094026183,19.7394414049847,90.4724248062037,27.427968649102
"Bosnia and Herzegovina","UM",4.04507389199408,1.57056215882768,1.25080886672602,0.140958792619734,8586.80381781598,15873.9136173724,3409.39287993283,0.222352504477123,283.123630966325,24.9666666666667,0.2,0.354144927330362,27.6590003967285,95.2721585409863,96.3233868901673,30.2276668548584,8.12935333333333,21.4285714285714,7.37492333333333,8.79649,-0.283668233333333,-0.447701733333333,-0.320757266666667,-0.0690706666666667,-0.181308,2.5,2.03903333333333,99.9,0.4,7.97097718710294,89,3.5,99.9950358072917,46.5193333333333,51210,3607971.78513625,70.4544382959627,17.8168832703901,44.1807677629747
