"LOCATION","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","PUBLIC_EXP_PER_CAP_LAGGED","HEALTH_EXP_LAGGED","GDP_PER_CAP_LAGGED","OOP_PER_CAP_LAGGED","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT","OTHER_EXP_LAGGED"
"Afghanistan",25.7504774791887,30.6385245649826,6.21746186518193,0.0246824829383892,1247.78307624591,1.32162901723491,55.8908887799602,3.51815228844319,NA,NA,6.80797871404943,11.4933334986369,35.4613633715713,50.9384571830417,14.8053331375122,2.16093333333333,27.710843373494,3.11884333333333,NA,-1.54493,-1.42110366666667,-2.49992433333333,-1.42218833333333,-1.79507766666667,25.4333333333333,0.243233333333333,37.6,0.1,15.0421864117797,67,0.433333333333333,51.6740063027346,23.9483333333333,652860,29713439.7345458,45.5127282029008,66.0866902219283,33.8563992816908,1246.46144722867
"Albania",5.88611166565962,6.38075835656756,2.08602447454495,0.111680747499888,9245.99793562201,180.37141242777,3501.33501664111,0,22.9,0.2,3.02768486593678,13.6476669311523,96.1776345240066,87.8106849481889,13.7033332188924,6.27356666666667,15.9523809523809,6.30447666666667,NA,-0.644862333333333,-0.252920733333333,-0.2058313,0.2205274,-0.4610212,4.2,1.24156666666667,NA,0.1,NA,99,2.83333333333333,100,53.2466666666667,28750,2868760.89748172,99.7829877384947,20.0324264314432,41.1413533060488,9065.62652319424
"Algeria",12.3665530196784,7.75122230403265,2.80493730297305,0.0518925665698541,181.827921212697,16.7575916324334,352.85306672266,5.28132925793853,22.9,0.2,5.77557479033872,10.2966667811076,86.7676063410877,92.6147595659208,17.746000289917,7.008315,15.7609885116312,6.879305,NA,-0.5242174,-0.525492066666667,-1.31499066666667,-1.212492,-0.788298133333333,4,1.207,NA,0.1,0.00866203361723376,95,NA,98.8689767876397,68.2303333333333,2381740,36847984.9136789,15.4710358450876,2.59804779161834,28.1854812786575,165.070329580263
"Angola",22.2560905412522,32.9762617575776,5.90771603181474,0.0214404351826194,139.660638416772,3.79608193105058,284.197374445735,1.34431710133781,NA,NA,-12.2453425825188,8.05700016021729,42.3263103732106,51.1734063175955,8.80933332443236,1.32386,36.969696969697,1.670015,23.60832,-1.312868,-1.0870279,-0.328247533333333,-1.03449436666667,-1.26673866666667,36.7666666666667,NA,NA,1.7,178.646319486724,52,NA,34.6456380208333,60.5263333333333,1246700,22692764.9454962,18.2022659384745,17.4705725523135,-12.2458690361332,135.864556485722
"Argentina",5.97933764320046,4.82843635368356,2.28164694938937,0.103206419517743,189.089454545489,29.7467130996646,461.115863581599,6.75196669939447,30.9,0.633333333333333,NA,7.37033335367838,93.1820089005214,98.6651225714129,8.8343334197998,6.39642,37.7431906614786,6.12247,1.58857666666667,-0.390255666666667,-0.1738071,0.0590787666666667,-0.804598566666667,-0.610361266666667,3.3,3.21,96.77,0.4,0.0228223411157517,92,4.56666666666667,99.2068584187826,90.9866666666667,2780400,41596630.1804673,14.960663998154,-65.1753607711417,-35.4468214894951,159.342741445824
"Armenia",6.09068039991699,5.89501120916732,1.71603293168033,0.104020046503075,8117.74583533008,47.4605350917117,2289.87150059679,165.628828107591,24.5,0.2,6.12812984697051,18.2506669362386,91.3758108629079,98.5961286966847,19.7063331604004,6.955095,9.41475826972012,6.968135,3.87079,-0.6469922,-0.1183579,0.0542604333333333,0.310675333333333,-0.449173233333333,4.03333333333333,2.8688,99.8333333333333,0.2,0,94.6666666666667,3.8,99.815342203776,63.34,29740,3092998.54829599,104.001296176731,45.0002900110148,40.2166076123014,8070.28530023837
"Australia",2.10670036512767,1.50791078399165,1.98350887825771,0.139599578713304,763.018792327189,130.767017839963,1983.65573830338,33.2659740789015,26.5,0.3,2.66165677966438,5.17199993133545,99.9911523822512,99.9053403116057,5.33599996566772,NA,24.6666666666667,NA,NA,2.020622,1.695382,0.940855733333333,1.781164,1.758164,2.5,3.3055,99.1,0.1,NA,92,3.85,100,85.2946666666667,7741220,21928817.7689894,2.83273408700301,134.502775475366,-25.7306547797261,632.251774487225
"Austria",1.93600936530186,1.33670107187504,1.43506980563044,0.178620623959627,2976.49101614762,438.672803786856,5279.17235870683,100.036593044153,23.6,0.366666666666667,2.5285972608642,4.74966669082642,99.984085456468,100,4.66633335749308,7.61324333333333,27.8688524590164,7.75121333333333,2.65579,1.46902966666667,1.67846566666667,1.22891233333333,1.45321266666667,1.82001133333333,2.5,4.84243333333333,98.5333333333333,NA,NA,89,7.7,100,57.2203333333333,83879.00390625,8408217.95741906,100.24222470282,14.0761588843371,47.6139487927463,2537.81821236076
"Azerbaijan",17.1152348229723,11.4691987637642,2.10451244635985,0.053855988631684,998.360483323262,20.6190251503193,1690.42354150062,61.3834085314203,NA,NA,4.8842914036565,5.41333341598511,84.78859886438,87.2936077215523,6.4900000890096,NA,16,NA,12.36,-1.18318466666667,-0.784907633333333,-0.495478233333333,-0.399977733333333,-0.8737566,2.5,3.5302,98.8,0.1,0.0912573125844653,85.6666666666667,4.76666666666667,99.9551284790039,53.642,86600,9407243.59761021,108.628678956238,47.5539095580061,40.2206905476617,977.741458172942
"Bangladesh",20.4853798343402,9.93705280972509,2.1933339148511,0.0485507004060012,34.5480057807535,0.14646116382519,18.8655689203621,0.323582029000577,26.9,3.5,8.57978192254397,3.71299990018209,40.5341512266042,96.5384331431709,5.42233339945475,3.93633666666667,19.3264320220842,3.69707333333333,25.71058,-0.998092766666667,-0.7650043,-1.403205,-0.870004866666667,-0.821556366666667,13.8333333333333,0.3825,29.1,NA,3.4942935347693,94.6666666666667,0.6,58.579405263265,31.2266666666667,148460,146287825.019487,985.368617940774,90.267928277196,23.8394617953441,34.4015446169283
